age;job;marital;education;balance;housing;loan;month;duration;campaign;pdays
30;unemployed;married;primary;1787;no;no;oct;79;1;-1
33;services;married;secondary;4789;yes;yes;may;220;1;339
35;management;single;tertiary;1350;yes;no;apr;185;1;330
30;management;married;tertiary;1476;yes;yes;jun;199;4;-1
59;blue-collar;married;secondary;0;yes;no;may;226;1;-1
35;management;single;tertiary;747;no;no;feb;141;2;176
36;self-employed;married;tertiary;307;yes;no;may;341;1;330
39;technician;married;secondary;147;yes;no;may;151;2;-1
41;entrepreneur;married;tertiary;221;yes;no;may;57;2;-1
43;services;married;primary;-88;yes;yes;apr;313;1;147
39;services;married;secondary;9374;yes;no;may;273;1;-1
43;admin.;married;secondary;264;yes;no;apr;113;2;-1
36;technician;married;tertiary;1109;no;no;aug;328;2;-1
20;student;single;secondary;502;no;no;apr;261;1;-1
31;blue-collar;married;secondary;360;yes;yes;jan;89;1;241
40;management;married;tertiary;194;no;yes;aug;189;2;-1
56;technician;married;secondary;4073;no;no;aug;239;5;-1
37;admin.;single;tertiary;2317;yes;no;apr;114;1;152
25;blue-collar;single;primary;-221;yes;no;may;250;1;-1
31;services;married;secondary;132;no;no;jul;148;1;152
38;management;divorced;unknown;0;yes;no;nov;96;2;-1
42;management;divorced;tertiary;16;no;no;nov;140;3;-1
44;services;single;secondary;106;no;no;jun;109;2;-1
44;entrepreneur;married;secondary;93;no;no;jul;125;2;-1
26;housemaid;married;tertiary;543;no;no;jan;169;3;-1
41;management;married;tertiary;5883;no;no;nov;182;2;-1
55;blue-collar;married;primary;627;yes;no;may;247;1;-1
67;retired;married;unknown;696;no;no;aug;119;1;105
56;self-employed;married;secondary;784;no;yes;jul;149;2;-1
53;admin.;married;secondary;105;no;yes;aug;74;2;-1
68;retired;divorced;secondary;4189;no;no;jul;897;2;-1
31;technician;married;secondary;171;no;no;aug;81;3;-1
59;management;married;secondary;42;no;no;nov;40;1;-1
32;management;single;tertiary;2536;yes;no;aug;958;6;-1
49;technician;married;tertiary;1235;no;no;aug;354;3;-1
42;admin.;divorced;secondary;1811;yes;no;may;150;1;-1
78;retired;divorced;primary;229;no;no;oct;97;1;-1
32;blue-collar;married;secondary;2089;yes;no;nov;132;1;-1
33;management;married;secondary;3935;yes;no;may;765;1;342
23;services;single;tertiary;363;yes;no;may;16;18;-1
38;management;single;tertiary;11971;yes;no;nov;609;2;101
36;management;single;tertiary;553;no;no;aug;106;2;-1
52;blue-collar;married;secondary;1117;yes;no;may;365;1;-1
32;technician;married;tertiary;396;yes;no;may;205;3;-1
32;technician;single;tertiary;2204;yes;no;nov;11;4;-1
34;management;single;tertiary;872;yes;no;may;105;2;-1
55;blue-collar;married;primary;145;no;no;feb;59;3;5
26;blue-collar;married;primary;0;yes;no;may;425;1;-1
32;entrepreneur;single;primary;-849;yes;yes;feb;204;1;-1
61;admin.;married;unknown;4629;yes;no;jan;181;1;92
45;blue-collar;divorced;primary;844;no;no;jun;1018;3;-1
37;technician;single;secondary;228;yes;no;aug;1740;2;-1
38;technician;single;secondary;50;no;no;aug;98;2;-1
34;technician;married;tertiary;1539;yes;no;jun;441;1;56
53;blue-collar;married;secondary;2231;yes;no;jul;272;3;-1
48;admin.;married;secondary;3064;yes;no;jul;159;2;-1
57;management;married;secondary;82;no;yes;feb;140;1;-1
33;self-employed;single;tertiary;2155;no;no;nov;295;1;-1
36;retired;single;secondary;101;yes;yes;may;314;1;-1
54;technician;divorced;secondary;784;yes;yes;may;579;1;-1
41;blue-collar;married;primary;-516;no;yes;jul;554;3;-1
63;retired;married;secondary;415;yes;no;oct;323;1;-1
48;management;married;tertiary;5887;no;no;aug;227;2;-1
48;services;married;secondary;1355;no;no;jul;134;2;-1
56;admin.;married;secondary;16873;no;no;oct;223;1;-1
51;blue-collar;divorced;secondary;203;yes;no;may;134;1;170
31;services;married;secondary;338;yes;no;jan;155;1;-1
29;technician;married;secondary;444;yes;no;jul;130;4;-1
41;management;married;secondary;0;no;yes;jul;630;3;-1
32;technician;single;tertiary;360;no;no;nov;164;2;-1
37;management;married;tertiary;0;no;no;jul;268;2;182
42;entrepreneur;divorced;tertiary;2;yes;no;may;380;1;-1
31;management;single;tertiary;6248;yes;no;may;154;2;-1
41;services;married;tertiary;412;yes;no;jun;154;5;-1
56;retired;married;secondary;344;yes;no;may;221;1;-1
54;management;divorced;tertiary;3222;no;no;aug;67;2;-1
41;blue-collar;divorced;secondary;174;yes;no;may;367;2;297
40;technician;single;secondary;591;no;yes;aug;87;6;-1
50;blue-collar;divorced;primary;388;no;no;feb;701;1;-1
40;unemployed;married;secondary;219;yes;no;nov;204;2;196
27;admin.;divorced;secondary;451;yes;no;jul;652;1;-1
60;retired;married;primary;5;no;no;aug;63;2;-1
28;admin.;single;secondary;177;yes;yes;may;150;1;-1
52;services;married;secondary;657;no;no;jul;398;2;460
37;management;married;tertiary;1315;no;no;jun;224;1;-1
51;blue-collar;married;primary;1466;yes;no;may;406;2;-1
41;technician;single;secondary;879;no;yes;jul;60;4;-1
35;blue-collar;single;primary;293;yes;no;may;521;2;-1
38;admin.;married;secondary;424;yes;no;apr;279;1;-1
34;blue-collar;married;secondary;1831;yes;no;may;203;2;-1
39;blue-collar;married;primary;111;no;no;nov;201;2;-1
34;blue-collar;married;primary;455;yes;no;jun;372;3;-1
27;services;single;secondary;-195;yes;no;may;391;1;-1
32;management;single;tertiary;3616;no;no;aug;165;2;-1
57;blue-collar;married;secondary;14093;no;no;aug;231;5;-1
41;unknown;single;tertiary;1567;no;no;jul;291;2;-1
41;admin.;married;tertiary;5426;yes;no;may;149;2;-1
30;admin.;single;tertiary;261;no;no;oct;233;1;137
36;blue-collar;divorced;secondary;2843;no;no;feb;473;1;182
31;unemployed;single;primary;406;no;no;feb;736;1;-1
36;blue-collar;married;secondary;0;yes;no;may;337;1;-1
38;management;single;tertiary;493;yes;no;may;553;1;367
49;technician;married;secondary;5996;no;no;nov;345;2;-1
57;services;single;primary;3777;yes;no;may;65;2;-1
34;management;single;secondary;524;no;no;aug;9;1;-1
32;management;single;tertiary;574;yes;no;apr;259;2;145
